Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P40161|RT106_YEAST	P40161	RT106_YEAST	RTT106	455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone chaperone RTT106	1.0	0.999	2	3	3	3	0	1	2	0	1	2	0	1	2	0.0	0.0	4495148.0	0.0	0.0	0.0	
sp|P40165|NNRE_YEAST	P40165	NNRE_YEAST	NNR1	246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NAD(P)H-hydrate epimerase	1.0	0.999	2	2	2	2	2	0	0	2	0	0	2	0	0	1.1534598E7	1.2610218E7	1.2747182E7	6575040.0	7018462.0	7234445.5	
sp|P40185|MMF1_YEAST	P40185	MMF1_YEAST	MMF1	145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein MMF1, mitochondrial	1.0	0.999	6	87	87	87	27	26	34	27	26	34	27	26	34	5.6290195E8	5.25756576E8	5.6885555E8	1.6652592E8	1.57514832E8	1.63658112E8	
sp|P40202|CCS1_YEAST	P40202	CCS1_YEAST	CCS1	249	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Superoxide dismutase 1 copper chaperone	1.0	0.999	5	23	23	23	7	9	7	7	9	7	7	9	7	7.7718928E7	6.9204152E7	7.6646984E7	1.9364458E7	1.7539612E7	1.9509904E7	
sp|P40210|SIP5_YEAST	P40210	SIP5_YEAST	SIP5	489	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein SIP5	0.9647	0.9989	1	1	1	1	0	0	1	0	0	1	0	0	1	4003244.0	5381169.0	4589933.0	4003244.0	5381169.0	4589933.0	
sp|P40212|RL13B_YEAST	P40212	RL13B_YEAST	RPL13B	199	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L13-B	1.0	0.999	8	144	0	144	46	46	52	0	0	0	46	46	52	1.30030707E9	1.20707955E9	1.29111654E9	3.52328704E8	3.26012576E8	3.47045376E8	sp|Q12690|RL13A_YEAST
sp|P40215|NDH1_YEAST	P40215	NDH1_YEAST	NDE1	560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	External NADH-ubiquinone oxidoreductase 1, mitochondrial	1.0	0.999	10	26	23	26	8	10	8	7	9	7	8	10	8	6.4478508E7	5.520816E7	5.6604256E7	1.1075533E7	9365015.0	1.0171812E7	
sp|P40217|EIF3I_YEAST	P40217	EIF3I_YEAST	TIF34	347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit I	1.0	0.999	11	48	48	48	15	15	18	15	15	18	15	15	18	1.4067424E8	1.2953456E8	1.52279632E8	3.3282714E7	3.4825956E7	3.7515952E7	
sp|P40302|PSA6_YEAST	P40302	PSA6_YEAST	PRE5	234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proteasome subunit alpha type-6	1.0	0.999	11	41	41	41	12	16	13	12	16	13	12	16	13	1.56493616E8	1.5479592E8	1.50561104E8	2.8605198E7	2.5941004E7	2.6628148E7	
sp|P40303|PSA4_YEAST	P40303	PSA4_YEAST	PRE6	254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proteasome subunit alpha type-4	1.0	0.999	5	33	33	33	11	11	11	11	11	11	11	11	11	8.3992552E7	8.8086296E7	8.913324E7	3.1939162E7	3.469452E7	3.5290328E7	
sp|P40312|CYB5_YEAST	P40312	CYB5_YEAST	CYB5	120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome b5	1.0	0.9989	2	4	4	4	1	1	2	1	1	2	1	1	2	1.1905803E7	1.4698138E7	3.6107548E7	1.2279642E7	1.5159656E7	1.775779E7	
sp|P40318|DOA10_YEAST	P40318	DOA10_YEAST	SSM4	1319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ERAD-associated E3 ubiquitin-protein ligase DOA10	0.9674	0.999	1	2	2	2	1	1	0	1	1	0	1	1	0	1931400.0	2550502.0	2969374.0	1931400.0	2550502.0	2969374.0	
sp|P40319|ELO3_YEAST	P40319	ELO3_YEAST	ELO3	345	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation of fatty acids protein 3	1.0	0.999	4	17	17	17	5	6	6	5	6	6	5	6	6	1.42977984E8	7.5658056E7	1.14119616E8	6.1173228E7	6.0368568E7	5.188012E7	
sp|P40325|HUA1_YEAST	P40325	HUA1_YEAST	HUA1	198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proline-rich protein HUA1	0.6461	0.984	1	1	1	1	0	1	0	0	1	0	0	1	0	2323334.8	2463753.2	2413686.5	2323334.8	2463753.2	2413686.5	
sp|P40327|PRS4_YEAST	P40327	PRS4_YEAST	RPT2	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit 4 homolog	1.0	0.999	8	20	20	20	7	7	6	7	7	6	7	7	6	1.03982312E8	8.9097E7	9.1077856E7	2.614541E7	2.3972094E7	2.4671582E7	
sp|P40335|PEP8_YEAST	P40335	PEP8_YEAST	PEP8	379	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Carboxypeptidase Y-deficient protein 8	0.9673	0.999	1	1	1	1	1	0	0	1	0	0	1	0	0	3752538.8	2843376.5	2374069.2	3752538.8	2843376.5	2374069.2	
sp|P40341|YTA12_YEAST	P40341	YTA12_YEAST	YTA12	825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial respiratory chain complexes assembly protein YTA12	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	3543431.5	4343663.5	4298348.5	3543431.5	4343663.5	4298348.5	
sp|P40343|VPS27_YEAST	P40343	VPS27_YEAST	VPS27	622	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 27	0.9315	0.9978	1	1	1	1	1	0	0	1	0	0	1	0	0	2437252.0	0.0	0.0	0.0	0.0	0.0	
sp|P40347|PPAL_YEAST	P40347	PPAL_YEAST	LTP1	161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Low molecular weight phosphotyrosine protein phosphatase	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	9997472.0	1.0166024E7	1.1470634E7	9997472.0	1.0166024E7	1.1470634E7	
sp|P40348|RFC2_YEAST	P40348	RFC2_YEAST	RFC2	353	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Replication factor C subunit 2	0.9998	0.9988	2	3	3	3	2	0	1	2	0	1	2	0	1	3718901.0	0.0	4797449.5	3718901.0	0.0	4797449.5	
sp|P40350|ALG5_YEAST	P40350	ALG5_YEAST	ALG5	334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dolichyl-phosphate beta-glucosyltransferase	0.9656	0.9989	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P40363|SFGH_YEAST	P40363	SFGH_YEAST	YJL068C	299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	S-formylglutathione hydrolase	0.997	0.9989	2	4	4	4	1	2	1	1	2	1	1	2	1	8909554.0	1.0284763E7	8920991.0	6039086.0	6883989.0	5441220.0	
sp|P40364|MPM1_YEAST	P40364	MPM1_YEAST	MPM1	252	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial peculiar membrane protein 1	1.0	0.999	3	5	5	5	2	1	2	2	1	2	2	1	2	2.3873596E7	2.876736E7	3.2388616E7	1.7098854E7	1.6079672E7	1.5467257E7	
sp|P40368|NUP82_YEAST	P40368	NUP82_YEAST	NUP82	713	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP82	0.9998	0.9986	2	3	3	3	2	1	0	2	1	0	2	1	0	1.8523444E7	6644625.5	2.0061948E7	9178955.0	7758806.5	1.1216409E7	
sp|P40413|TCPE_YEAST	P40413	TCPE_YEAST	CCT5	562	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	T-complex protein 1 subunit epsilon	1.0	0.999	18	55	55	55	17	19	19	17	19	19	17	19	19	1.58578848E8	1.40298656E8	1.70098256E8	1.6185928E7	1.3652263E7	1.5113367E7	
sp|P40414|TPM2_YEAST	P40414	TPM2_YEAST	TPM2	161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Tropomyosin-2	1.0	0.999	9	31	31	31	9	11	11	9	11	11	9	11	11	1.07722712E8	1.15112104E8	1.05032168E8	1.7120754E7	1.978945E7	1.7231656E7	
sp|P40422|RPAB4_YEAST	P40422	RPAB4_YEAST	RPC10	70	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA-directed RNA polymerases I, II, and III subunit RPABC4	0.9998	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	2.2369412E7	1.7048314E7	2.2508828E7	1.3946806E7	1.0911866E7	1.4547744E7	
sp|P40433|6P21_YEAST	P40433	6P21_YEAST	PFK26	827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	6-phosphofructo-2-kinase 1	0.955	0.9986	1	1	1	1	1	0	0	1	0	0	1	0	0	4465941.5	3698030.2	4288399.0	4465941.5	3698030.2	4288399.0	
sp|P40442|CSS1_YEAST	P40442	CSS1_YEAST	CSS1	995	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	2:Experimental evidence at transcript level	Secreted protein CSS1	0.966	0.999	1	3	0	3	2	0	1	0	0	0	2	0	1	5397219.5	6060101.5	5496243.0	5397219.5	6060101.5	5496243.0	sp|Q05164|HPF1_YEAST
sp|P40459|PANC_YEAST	P40459	PANC_YEAST	PAN6	309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pantoate--beta-alanine ligase	1.0	0.999	5	8	6	8	2	3	3	1	2	3	2	3	3	8117066.0	2.309216E7	1.1276337E7	7279969.0	5735388.0	6033137.0	
sp|P40462|TM108_YEAST	P40462	TM108_YEAST	TMA108	946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein TMA108	1.0	0.999	7	13	13	13	4	4	5	4	4	5	4	4	5	1.6972128E7	1.9332016E7	2.070306E7	6217159.5	8389359.0	9110201.0	
sp|P40471|AYR1_YEAST	P40471	AYR1_YEAST	AYR1	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NADPH-dependent 1-acyldihydroxyacetone phosphate reductase	1.0	0.999	3	7	7	7	3	2	2	3	2	2	3	2	2	1.9337052E7	2.5098226E7	2.5016664E7	1.5295524E7	2.0922646E7	1.9161582E7	
sp|P40477|NU159_YEAST	P40477	NU159_YEAST	NUP159	1460	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP159	0.9999	0.9987	3	3	3	3	1	1	1	1	1	1	1	1	1	3652890.5	5950097.0	5204379.5	3652890.5	3102686.5	5204379.5	
sp|P40482|SEC24_YEAST	P40482	SEC24_YEAST	SEC24	926	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein transport protein SEC24	1.0	0.999	19	60	60	60	23	19	18	23	19	18	23	19	18	3.74524032E8	3.4382784E8	1.96843328E8	1.30431968E8	1.28276312E8	1.3884104E8	
sp|P40483|YIK8_YEAST	P40483	YIK8_YEAST	YIL108W	696	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Putative zinc metalloproteinase YIL108W	1.0	0.999	2	4	4	4	1	1	2	1	1	2	1	1	2	4789381.0	7759451.5	8894268.0	2788421.5	4347423.5	5179082.0	
sp|P40495|LYS12_YEAST	P40495	LYS12_YEAST	LYS12	371	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Homoisocitrate dehydrogenase, mitochondrial	1.0	0.999	12	51	51	51	19	15	17	19	15	17	19	15	17	1.32936704E8	1.2379876E8	1.11278776E8	2.2172322E7	2.0407364E7	1.9628612E7	
sp|P40499|ICE2_YEAST	P40499	ICE2_YEAST	ICE2	491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein ICE2	0.9674	0.999	1	2	2	2	1	1	0	1	1	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P40501|AVT7_YEAST	P40501	AVT7_YEAST	AVT7	490	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar amino acid transporter 7	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	4743653.5	7179298.5	5513695.0	4743653.5	7179298.5	5513695.0	
sp|P40505|SDS3_YEAST	P40505	SDS3_YEAST	SDS3	327	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Transcriptional regulatory protein SDS3	0.9674	0.999	1	2	2	2	0	1	1	0	1	1	0	1	1	1577897.5	1972394.8	2225824.5	1577897.5	1972394.8	2225824.5	
sp|P40506|PPCS_YEAST	P40506	PPCS_YEAST	CAB2	365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphopantothenate--cysteine ligase CAB2	0.9976	0.999	2	3	3	3	1	0	2	1	0	2	1	0	2	5400116.5	0.0	1.3117816E7	6179961.5	0.0	6499723.5	
sp|P40509|COPE_YEAST	P40509	COPE_YEAST	SEC28	296	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Coatomer subunit epsilon	1.0	0.999	5	22	22	22	7	7	8	7	7	8	7	7	8	4.3423544E7	5.1972328E7	4.1581124E7	1.6004036E7	2.0890338E7	1.7764918E7	
sp|P40510|SER33_YEAST	P40510	SER33_YEAST	SER33	469	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	D-3-phosphoglycerate dehydrogenase 2	1.0	0.999	11	9	9	37	3	3	3	3	3	3	13	12	12	2.9769404E7	3.2772154E7	3.447486E7	1.4793077E7	1.5976138E7	1.6145385E7	
sp|P40513|MAM33_YEAST	P40513	MAM33_YEAST	MAM33	266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial acidic protein MAM33	1.0	0.999	3	7	7	7	2	2	3	2	2	3	2	2	3	2.2949494E7	2.440992E7	2.8887644E7	1.0896712E7	1.3762147E7	1.6466644E7	
sp|P40515|FIS1_YEAST	P40515	FIS1_YEAST	FIS1	155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial fission 1 protein	0.9164	0.9973	1	1	1	1	0	1	0	0	1	0	0	1	0	2028678.1	2353772.5	2313520.2	2028678.1	2353772.5	2313520.2	
sp|P40517|YRB2_YEAST	P40517	YRB2_YEAST	YRB2	327	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ran-specific GTPase-activating protein 2	0.8949	0.9965	1	2	2	2	1	0	1	1	0	1	1	0	1	6827949.0	4680480.5	5378772.5	6827949.0	4680480.5	5378772.5	
sp|P40518|ARPC5_YEAST	P40518	ARPC5_YEAST	ARC15	154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 5	1.0	0.999	8	36	36	36	13	10	13	13	10	13	13	10	13	9.4534256E7	1.14659224E8	1.14787232E8	2.3239778E7	2.6706246E7	2.6484322E7	
sp|P40525|RL34B_YEAST	P40525	RL34B_YEAST	RPL34B	121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L34-B	1.0	0.999	5	42	0	42	15	13	14	0	0	0	15	13	14	7.0021818E8	3.18838304E8	3.22912064E8	2.6134848E8	2.39534992E8	2.45740336E8	sp|P87262|RL34A_YEAST
sp|P40527|ATC7_YEAST	P40527	ATC7_YEAST	NEO1	1151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable phospholipid-transporting ATPase NEO1	0.9988	0.9948	2	4	4	4	1	2	1	1	2	1	1	2	1	0.0	1.3652083E7	3543995.2	0.0	1.3652083E7	3543995.2	
sp|P40531|GVP36_YEAST	P40531	GVP36_YEAST	GVP36	326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein GVP36	1.0	0.999	9	46	46	46	15	14	17	15	14	17	15	14	17	2.99876288E8	2.7237392E8	2.65115776E8	5.9528608E7	5.3331E7	5.2419884E7	
sp|P40533|TED1_YEAST	P40533	TED1_YEAST	TED1	473	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein TED1	0.9985	0.999	2	5	5	5	2	1	2	2	1	2	2	1	2	9226879.0	6135508.0	8477775.0	9226879.0	6135508.0	8477775.0	
sp|P40540|EMC5_YEAST	P40540	EMC5_YEAST	EMC5	141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ER membrane protein complex subunit 5	1.0	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	2.5004124E7	1.8265936E7	2.049112E7	1.5050564E7	1.1151125E7	1.2676874E7	
sp|P40548|SNL1_YEAST	P40548	SNL1_YEAST	SNL1	159	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	HSP70 co-chaperone SNL1	0.9998	0.999	2	5	5	5	3	1	1	3	1	1	3	1	1	7529426.0	7234133.5	7635435.0	4347667.0	4407943.0	4654951.0	
sp|P40553|DOT5_YEAST	P40553	DOT5_YEAST	DOT5	215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peroxiredoxin DOT5	1.0	0.999	3	10	10	10	4	3	3	4	3	3	4	3	3	2.4673522E7	2.460137E7	2.3417844E7	1.4804206E7	1.2861878E7	1.3304909E7	
sp|P40555|PSMD9_YEAST	P40555	PSMD9_YEAST	NAS2	220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable 26S proteasome regulatory subunit p27	0.9515	0.9985	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P40557|EPS1_YEAST	P40557	EPS1_YEAST	EPS1	701	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ER-retained PMA1-suppressing protein 1	0.9658	0.9989	1	3	3	3	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P40561|SGN1_YEAST	P40561	SGN1_YEAST	SGN1	250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	RNA-binding protein SGN1	1.0	0.999	3	5	5	5	3	0	2	3	0	2	3	0	2	1.2537532E7	1.0710746E7	1.325422E7	6368178.0	8512030.0	1.0379042E7	
sp|P40563|AIM21_YEAST	P40563	AIM21_YEAST	AIM21	679	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Altered inheritance of mitochondria protein 21	0.8939	0.9965	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P40564|DJP1_YEAST	P40564	DJP1_YEAST	DJP1	432	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DnaJ-like protein 1	0.9998	0.9988	3	7	7	7	2	2	3	2	2	3	2	2	3	6267727.0	9326711.0	8288928.0	3401316.0	5055655.5	3952600.8	
sp|P40580|BZRD_YEAST	P40580	BZRD_YEAST	IRC24	263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Benzil reductase ((S)-benzoin forming) IRC24	1.0	0.999	5	16	16	16	6	5	5	6	5	5	6	5	5	4.1668128E7	2.8856056E7	3.5789988E7	1.1932727E7	8423039.0	1.0584788E7	
sp|P40581|GPX3_YEAST	P40581	GPX3_YEAST	HYR1	163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glutathione peroxidase-like peroxiredoxin HYR1	1.0	0.999	6	31	31	43	8	12	11	8	12	11	12	15	16	9.7846248E7	9.013288E7	8.561728E7	4.8493976E7	5.2297916E7	5.3188144E7	
sp|P40582|GST1_YEAST	P40582	GST1_YEAST	GTT1	234	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glutathione S-transferase 1	1.0	0.999	6	21	21	21	7	7	7	7	7	7	7	7	7	7.7479016E7	8.481084E7	8.0304312E7	2.026473E7	2.2183376E7	2.2070862E7	
sp|P40825|SYA_YEAST	P40825	SYA_YEAST	ALA1	983	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alanine--tRNA ligase, mitochondrial	1.0	0.999	32	141	141	141	45	50	46	45	50	46	45	50	46	6.9273952E8	7.6046739E8	6.7415021E8	2.24126608E8	2.22504656E8	2.27909296E8	
sp|P40857|HACD_YEAST	P40857	HACD_YEAST	PHS1	217	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase PHS1	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	8751128.0	6880765.5	6997296.5	8751128.0	6880765.5	6997296.5	
sp|P40893|REE1_YEAST	P40893	REE1_YEAST	REE1	198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Regulation of enolase protein 1	1.0	0.999	7	30	30	30	10	10	10	10	10	10	10	10	10	8.2556584E7	8.2031424E7	8.2708808E7	2.0584728E7	1.849909E7	1.8006692E7	
sp|P40959|MVP1_YEAST	P40959	MVP1_YEAST	MVP1	511	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Sorting nexin MVP1	0.9995	0.9983	2	4	4	4	1	2	1	1	2	1	1	2	1	2498107.8	2098387.8	1984713.1	2498107.8	2098387.8	1984713.1	
sp|P40961|PHB1_YEAST	P40961	PHB1_YEAST	PHB1	287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Prohibitin-1	1.0	0.999	8	25	25	25	8	9	8	8	9	8	8	9	8	6.4661692E7	5.5912036E7	6.36243E7	1.7908214E7	1.5590908E7	1.7339516E7	
sp|P40970|LCB2_YEAST	P40970	LCB2_YEAST	LCB2	561	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Serine palmitoyltransferase 2	1.0	0.999	8	28	28	28	10	10	8	10	10	8	10	10	8	4.2372184E7	4.5513392E7	4.926116E7	9668065.0	1.0500698E7	1.1464426E7	
sp|P40986|CDC1_YEAST	P40986	CDC1_YEAST	CDC1	491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell division control protein 1	0.9471	0.9983	1	3	3	3	1	1	1	1	1	1	1	1	1	2021902.0	1745372.4	2155432.0	2021902.0	1745372.4	2155432.0	
sp|P40989|FKS2_YEAST	P40989	FKS2_YEAST	GSC2	1895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	1,3-beta-glucan synthase component GSC2	1.0	0.999	23	58	26	58	20	18	20	9	8	9	20	18	20	2.8403008E8	3.1320704E8	3.17907232E8	1.3939896E8	1.62682672E8	1.72745984E8	
sp|P40991|NOP2_YEAST	P40991	NOP2_YEAST	NOP2	618	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	25S rRNA (cytosine(2870)-C(5))-methyltransferase	1.0	0.999	5	9	9	9	3	2	4	3	2	4	3	2	4	2.2185858E7	1.4563221E7	4.13066E7	9841265.0	8184964.5	1.0609808E7	
sp|P40994|ARF3_YEAST	P40994	ARF3_YEAST	ARF3	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ADP-ribosylation factor 3	0.7107	0.988	1	2	2	2	1	1	0	1	1	0	1	1	0	2928632.8	6144195.5	3496105.2	2928632.8	6144195.5	3496105.2	
sp|P41057|RS29A_YEAST	P41057	RS29A_YEAST	RPS29A	56	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S29-A	1.0	0.999	4	43	43	74	14	13	16	14	13	16	24	23	27	4.12623072E8	2.92908416E8	2.56756592E8	1.71918784E8	1.0922628E8	9.416844E7	
sp|P41058|RS29B_YEAST	P41058	RS29B_YEAST	RPS29B	56	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S29-B	1.0	0.999	4	75	44	75	25	24	26	15	14	15	25	24	26	3.34505088E8	2.558136E8	2.6529064E8	1.15175096E8	9.396636E7	9.8120512E7	
sp|P41277|GPP1_YEAST	P41277	GPP1_YEAST	GPP1	250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycerol-1-phosphate phosphohydrolase 1	1.0	0.999	11	159	118	159	51	51	57	39	37	42	51	51	57	1.76989043E9	1.5584567E9	1.64551846E9	5.5995302E8	4.59382016E8	4.6776976E8	
sp|P41338|ERG10_YEAST	P41338	ERG10_YEAST	ERG10	398	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Acetyl-CoA acetyltransferase	1.0	0.999	12	65	65	65	22	20	23	22	20	23	22	20	23	3.03634848E8	2.69248704E8	2.98411424E8	5.9150212E7	5.693216E7	6.0065852E7	
sp|P41543|OST1_YEAST	P41543	OST1_YEAST	OST1	476	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	1.0	0.999	4	9	9	9	2	4	3	2	4	3	2	4	3	2.8262182E7	2.1358424E7	2.2348032E7	1.1854011E7	1.2426809E7	1.3092295E7	
sp|P41805|RL10_YEAST	P41805	RL10_YEAST	RPL10	221	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L10	1.0	0.999	9	153	153	153	53	48	52	53	48	52	53	48	52	1.18927539E9	1.10291661E9	1.14070643E9	2.42979008E8	2.555124E8	2.17609776E8	
